cohort_month,order_month,n_customers,cohort_size,retention_rate
2024-01,2024-01,29,29,1.0
2024-01,2024-02,62,29,2.1379
2024-01,2024-03,49,29,1.6897
2024-01,2024-04,48,29,1.6552
2024-01,2024-05,57,29,1.9655
2024-01,2024-06,59,29,2.0345
2024-01,2024-07,59,29,2.0345
2024-01,2024-08,50,29,1.7241
2024-01,2024-09,56,29,1.931
2024-01,2024-10,45,29,1.5517
2024-01,2024-11,47,29,1.6207
2024-01,2024-12,58,29,2.0
2024-02,2024-02,40,40,1.0
2024-02,2024-03,79,40,1.975
2024-02,2024-04,83,40,2.075
2024-02,2024-05,80,40,2.0
2024-02,2024-06,74,40,1.85
2024-02,2024-07,76,40,1.9
2024-02,2024-08,81,40,2.025
2024-02,2024-09,74,40,1.85
2024-02,2024-10,73,40,1.825
2024-02,2024-11,84,40,2.1
2024-02,2024-12,74,40,1.85
2024-03,2024-03,32,32,1.0
2024-03,2024-04,70,32,2.1875
2024-03,2024-05,62,32,1.9375
2024-03,2024-06,57,32,1.7812
2024-03,2024-07,60,32,1.875
2024-03,2024-08,65,32,2.0312
2024-03,2024-09,58,32,1.8125
2024-03,2024-10,67,32,2.0938
2024-03,2024-11,69,32,2.1562
2024-03,2024-12,62,32,1.9375
2024-04,2024-04,52,52,1.0
2024-04,2024-05,70,52,1.3462
2024-04,2024-06,70,52,1.3462
2024-04,2024-07,79,52,1.5192
2024-04,2024-08,77,52,1.4808
2024-04,2024-09,71,52,1.3654
2024-04,2024-10,77,52,1.4808
2024-04,2024-11,81,52,1.5577
2024-04,2024-12,71,52,1.3654
2024-05,2024-05,34,34,1.0
2024-05,2024-06,69,34,2.0294
2024-05,2024-07,67,34,1.9706
2024-05,2024-08,65,34,1.9118
2024-05,2024-09,61,34,1.7941
2024-05,2024-10,66,34,1.9412
2024-05,2024-11,68,34,2.0
2024-05,2024-12,56,34,1.6471
2024-06,2024-06,59,59,1.0
2024-06,2024-07,88,59,1.4915
2024-06,2024-08,104,59,1.7627
2024-06,2024-09,104,59,1.7627
2024-06,2024-10,98,59,1.661
2024-06,2024-11,99,59,1.678
2024-06,2024-12,97,59,1.6441
2024-07,2024-07,61,61,1.0
2024-07,2024-08,106,61,1.7377
2024-07,2024-09,93,61,1.5246
2024-07,2024-10,101,61,1.6557
2024-07,2024-11,106,61,1.7377
2024-07,2024-12,97,61,1.5902
2024-08,2024-08,66,66,1.0
2024-08,2024-09,109,66,1.6515
2024-08,2024-10,95,66,1.4394
2024-08,2024-11,98,66,1.4848
2024-08,2024-12,94,66,1.4242
2024-09,2024-09,70,70,1.0
2024-09,2024-10,120,70,1.7143
2024-09,2024-11,114,70,1.6286
2024-09,2024-12,107,70,1.5286
2024-10,2024-10,90,90,1.0
2024-10,2024-11,120,90,1.3333
2024-10,2024-12,122,90,1.3556
2024-11,2024-11,112,112,1.0
2024-11,2024-12,144,112,1.2857
2024-12,2024-12,170,170,1.0
