customer_id,signup_date,channel,country,total_orders,total_revenue,total_gross_margin,first_order_date,last_order_date,avg_order_value,recency_days,tenure_days,clv,rfm_r,rfm_f,rfm_m,rfm_score,rfm_segment
1,2024-02-02,organic,CA,3.0,875.5899999999999,384.62,2024-02-03 09:29:32,2024-11-21 12:33:07,291.8633333333333,40.0,333,875.5899999999999,2.0,2.0,2.0,6.0,Lost
2,2024-10-10,paid_search,DE,9.0,3404.12,1659.34,2024-10-13 15:34:29,2024-12-24 15:50:49,378.23555555555555,7.0,82,3404.12,4.0,5.0,5.0,14.0,Champions
3,2024-08-27,organic,US,9.0,3396.4700000000003,1546.3100000000002,2024-09-08 12:28:28,2024-12-20 16:11:02,377.3855555555556,11.0,126,3396.4700000000003,4.0,5.0,5.0,14.0,Champions
4,2024-06-09,organic,CA,8.0,3521.37,1773.94,2024-06-16 03:47:47,2024-11-16 10:06:35,440.17125,45.0,205,3521.37,2.0,5.0,5.0,12.0,At Risk
5,2024-06-07,social,US,5.0,1224.25,536.85,2024-06-18 01:37:57,2024-11-17 12:49:57,244.85,44.0,207,1224.25,2.0,3.0,3.0,8.0,At Risk
6,2024-11-10,paid_search,CA,2.0,505.59000000000003,232.47,2024-11-10 17:29:47,2024-12-02 09:15:31,252.79500000000002,29.0,51,505.59000000000003,3.0,1.0,2.0,6.0,Others
7,2024-02-01,referral,DE,5.0,1850.85,696.48,2024-02-15 21:35:08,2024-11-08 04:34:19,370.16999999999996,53.0,334,1850.85,2.0,3.0,4.0,9.0,At Risk
8,2024-09-12,organic,US,7.0,2393.13,1141.2199999999998,2024-09-18 07:49:15,2024-12-29 05:19:13,341.8757142857143,2.0,110,2393.13,5.0,4.0,5.0,14.0,Champions
9,2024-03-14,social,US,11.0,3820.7,1846.59,2024-03-17 20:16:16,2024-10-15 08:21:45,347.3363636363636,77.0,292,3820.7,2.0,5.0,5.0,12.0,At Risk
10,2024-02-04,paid_search,CA,2.0,593.24,276.85,2024-08-17 13:55:13,2024-11-26 07:07:21,296.62,35.0,331,593.24,3.0,1.0,2.0,6.0,Others
11,2024-07-11,social,US,1.0,721.0,385.65999999999997,2024-09-18 11:16:27,2024-09-18 11:16:27,721.0,104.0,173,721.0,1.0,1.0,2.0,4.0,Lost
12,2024-12-23,social,AU,2.0,337.19,127.79,2024-12-23 13:48:26,2024-12-27 00:45:11,168.595,4.0,8,337.19,5.0,1.0,1.0,7.0,New Customers
13,2024-09-26,paid_search,CA,7.0,1827.67,973.9599999999999,2024-10-13 19:27:34,2024-12-31 06:53:53,261.0957142857143,0.0,96,1827.67,5.0,4.0,4.0,13.0,Champions
14,2024-10-05,affiliate,FR,1.0,409.15999999999997,179.57999999999998,2024-11-28 09:49:21,2024-11-28 09:49:21,409.15999999999997,33.0,87,409.15999999999997,3.0,1.0,1.0,5.0,Others
15,2024-09-19,paid_search,US,4.0,1307.47,697.2599999999999,2024-10-26 22:36:34,2024-12-07 02:29:59,326.8675,24.0,103,1307.47,3.0,3.0,3.0,9.0,Loyal Customers
16,2024-10-14,organic,FR,5.0,1459.54,710.87,2024-10-30 10:12:05,2024-12-29 21:25:23,291.908,2.0,78,1459.54,5.0,3.0,4.0,12.0,Loyal Customers
17,2024-07-06,social,NL,12.0,3739.58,1717.3,2024-07-10 20:19:10,2024-12-09 02:02:42,311.63166666666666,22.0,178,3739.58,3.0,5.0,5.0,13.0,Loyal Customers
18,2024-02-16,email,US,2.0,770.16,398.2,2024-02-24 06:11:21,2024-08-07 01:46:03,385.08,146.0,319,770.16,1.0,1.0,2.0,4.0,Lost
19,2024-11-03,organic,US,6.0,1661.06,822.91,2024-11-03 22:47:54,2024-12-26 13:54:12,276.8433333333333,5.0,58,1661.06,5.0,4.0,4.0,13.0,Champions
20,2024-06-13,paid_search,US,7.0,1960.9900000000002,925.2600000000001,2024-08-18 21:07:47,2024-12-07 04:50:28,280.1414285714286,24.0,201,1960.9900000000002,3.0,4.0,4.0,11.0,Loyal Customers
21,2024-07-02,referral,US,3.0,668.27,357.34,2024-07-23 05:26:19,2024-12-03 21:35:45,222.75666666666666,28.0,182,668.27,3.0,2.0,2.0,7.0,Potential Loyalists
22,2024-05-15,email,CA,0.0,0.0,0.0,,,0.0,230.0,230,0.0,,,,,No Orders
