event_id,session_id,customer_id,event_type,event_ts
50634,22813,1540,view,2024-01-01 01:03:37
50635,22813,1540,add_to_cart,2024-01-01 01:05:33
35260,13862,541,view,2024-01-01 01:11:51
51682,23434,273,view,2024-01-01 01:13:27
51683,23434,273,add_to_cart,2024-01-01 01:21:53
51684,23434,273,checkout,2024-01-01 01:22:56
42295,17910,1641,view,2024-01-01 01:31:28
37980,15428,2000,view,2024-01-01 01:39:46
34883,13638,300,view,2024-01-01 02:19:15
34884,13638,300,add_to_cart,2024-01-01 02:28:33
37801,15330,675,view,2024-01-01 02:32:05
53280,24381,991,view,2024-01-01 02:32:05
37802,15330,675,add_to_cart,2024-01-01 02:39:38
47404,20931,1452,view,2024-01-01 02:41:12
37835,15348,242,view,2024-01-01 03:28:03
35269,13869,392,view,2024-01-01 03:55:50
58985,27686,1833,view,2024-01-01 05:01:55
58986,27686,1833,add_to_cart,2024-01-01 05:04:05
37319,15047,421,view,2024-01-01 05:08:20
56287,26127,7,view,2024-01-01 05:51:05
58712,27532,394,view,2024-01-01 05:53:48
40446,16841,1139,view,2024-01-01 06:18:09
42520,18044,184,view,2024-01-01 06:26:08
42521,18044,184,add_to_cart,2024-01-01 06:29:37
58867,27622,832,view,2024-01-01 06:34:17
57192,26673,130,view,2024-01-01 06:37:52
42522,18044,184,checkout,2024-01-01 06:39:36
57705,26968,739,view,2024-01-01 06:44:24
57193,26673,130,add_to_cart,2024-01-01 06:44:44
57706,26968,739,add_to_cart,2024-01-01 06:46:52
38309,15622,301,view,2024-01-01 07:39:32
39081,16060,530,view,2024-01-01 07:47:58
38310,15622,301,add_to_cart,2024-01-01 07:48:22
57497,26846,421,view,2024-01-01 07:55:44
57498,26846,421,add_to_cart,2024-01-01 07:56:48
47395,20926,514,view,2024-01-01 08:16:59
47396,20926,514,add_to_cart,2024-01-01 08:21:01
47397,20926,514,checkout,2024-01-01 08:28:37
51508,23332,1602,view,2024-01-01 08:45:30
51509,23332,1602,add_to_cart,2024-01-01 08:50:09
34139,13211,1341,view,2024-01-01 09:16:44
34140,13211,1341,add_to_cart,2024-01-01 09:25:49
51659,23418,1331,view,2024-01-01 09:36:36
51660,23418,1331,add_to_cart,2024-01-01 09:37:47
53277,24380,514,view,2024-01-01 10:13:51
53278,24380,514,add_to_cart,2024-01-01 10:14:25
50232,22579,591,view,2024-01-01 10:18:59
53279,24380,514,checkout,2024-01-01 10:21:00
51019,23036,1860,view,2024-01-01 11:25:51
51020,23036,1860,add_to_cart,2024-01-01 11:35:50
51021,23036,1860,checkout,2024-01-01 11:43:46
48435,21524,1093,view,2024-01-01 11:49:35
48436,21524,1093,add_to_cart,2024-01-01 11:56:02
41689,17562,1174,view,2024-01-01 13:14:45
41690,17562,1174,add_to_cart,2024-01-01 13:16:03
57339,26751,1482,view,2024-01-01 13:16:23
41691,17562,1174,checkout,2024-01-01 13:18:22
57340,26751,1482,add_to_cart,2024-01-01 13:18:39
57341,26751,1482,checkout,2024-01-01 13:25:41
40214,16710,1056,view,2024-01-01 13:33:47
40215,16710,1056,add_to_cart,2024-01-01 13:42:34
49876,22372,1033,view,2024-01-01 14:32:48
49877,22372,1033,add_to_cart,2024-01-01 14:34:30
49878,22372,1033,checkout,2024-01-01 14:41:03
40675,16974,1244,view,2024-01-01 14:48:29
40676,16974,1244,add_to_cart,2024-01-01 14:54:33
48718,21695,151,view,2024-01-01 15:02:08
48719,21695,151,add_to_cart,2024-01-01 15:06:19
40657,16963,62,view,2024-01-01 16:05:26
40658,16963,62,add_to_cart,2024-01-01 16:06:55
57318,26740,571,view,2024-01-01 16:10:38
40659,16963,62,checkout,2024-01-01 16:13:56
33307,12725,293,view,2024-01-01 16:21:22
37944,15404,1060,view,2024-01-01 16:48:16
45050,19525,1396,view,2024-01-01 16:50:11
41437,17420,27,view,2024-01-01 16:51:00
41438,17420,27,add_to_cart,2024-01-01 17:00:51
54097,24858,1800,view,2024-01-01 17:22:01
54098,24858,1800,add_to_cart,2024-01-01 17:23:19
38377,15660,633,view,2024-01-01 17:24:28
54099,24858,1800,checkout,2024-01-01 17:24:45
38378,15660,633,add_to_cart,2024-01-01 17:26:36
40759,17022,1246,view,2024-01-01 18:10:13
40760,17022,1246,add_to_cart,2024-01-01 18:13:00
40761,17022,1246,checkout,2024-01-01 18:22:56
50585,22785,1112,view,2024-01-01 18:34:19
50586,22785,1112,add_to_cart,2024-01-01 18:36:44
50587,22785,1112,checkout,2024-01-01 18:39:59
37177,14960,1553,view,2024-01-01 18:59:44
37178,14960,1553,add_to_cart,2024-01-01 19:01:12
55931,25921,1660,view,2024-01-01 20:02:23
55932,25921,1660,add_to_cart,2024-01-01 20:07:11
55933,25921,1660,checkout,2024-01-01 20:09:18
33463,12814,1213,view,2024-01-01 20:27:03
44883,19424,1692,view,2024-01-01 21:42:29
36720,14703,1600,view,2024-01-01 21:43:43
36721,14703,1600,add_to_cart,2024-01-01 21:46:14
36722,14703,1600,checkout,2024-01-01 21:53:04
40399,16815,582,view,2024-01-01 23:07:55
39671,16406,151,view,2024-01-01 23:43:22
33116,12618,433,view,2024-01-02 00:42:51
33117,12618,433,add_to_cart,2024-01-02 00:49:41
39872,16530,943,view,2024-01-02 01:22:34
39873,16530,943,add_to_cart,2024-01-02 01:26:58
39874,16530,943,checkout,2024-01-02 01:27:52
46604,20454,1673,view,2024-01-02 01:59:21
46605,20454,1673,add_to_cart,2024-01-02 02:04:00
46606,20454,1673,checkout,2024-01-02 02:07:49
53515,24529,263,view,2024-01-02 02:09:24
53516,24529,263,add_to_cart,2024-01-02 02:17:02
53517,24529,263,checkout,2024-01-02 02:25:07
42267,17894,1382,view,2024-01-02 03:06:35
56793,26436,1384,view,2024-01-02 03:23:53
56794,26436,1384,add_to_cart,2024-01-02 03:25:21
40130,16669,1359,view,2024-01-02 03:35:17
40131,16669,1359,add_to_cart,2024-01-02 03:41:34
40132,16669,1359,checkout,2024-01-02 03:45:31
50860,22944,903,view,2024-01-02 05:20:11
50861,22944,903,add_to_cart,2024-01-02 05:26:42
41008,17174,1761,view,2024-01-02 05:42:47
41009,17174,1761,add_to_cart,2024-01-02 05:44:00
44045,18928,1688,view,2024-01-02 05:52:26
47143,20774,265,view,2024-01-02 05:54:37
44046,18928,1688,add_to_cart,2024-01-02 05:55:45
49345,22066,1741,view,2024-01-02 06:21:56
49346,22066,1741,add_to_cart,2024-01-02 06:30:46
50389,22673,867,view,2024-01-02 08:05:27
50390,22673,867,add_to_cart,2024-01-02 08:15:24
