order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,35,4,58.61,234.44
2,2,73,2,9.88,19.76
3,2,75,5,35.8,179.0
4,2,61,5,46.79,233.95
5,3,32,4,22.86,91.44
6,3,90,5,19.05,95.25
7,3,99,4,19.38,77.52
8,4,114,2,33.93,67.86
9,4,51,2,106.77,213.54
10,4,16,5,33.75,168.75
11,4,108,4,19.63,78.52
12,5,74,3,59.44,178.32
13,6,16,5,33.35,166.75
14,6,94,3,25.83,77.49
15,7,85,3,67.16,201.48
16,8,100,1,38.91,38.91
17,8,52,5,47.98,239.89999999999998
18,8,57,1,72.49,72.49
19,8,16,2,35.13,70.26
20,9,52,4,46.17,184.68
21,9,68,4,27.1,108.4
22,9,105,4,15.22,60.88
23,9,26,5,19.58,97.89999999999999
24,10,6,3,75.83,227.49
25,11,36,5,21.49,107.44999999999999
26,11,25,3,66.95,200.85000000000002
27,11,55,3,33.33,99.99
28,11,85,2,71.16,142.32
29,12,44,3,17.98,53.94
30,12,42,3,25.55,76.65
31,12,47,5,25.32,126.6
32,12,118,1,22.12,22.12
33,13,48,3,51.9,155.7
34,13,86,1,37.61,37.61
35,13,3,1,29.7,29.7
36,14,14,3,71.54,214.62
37,14,45,3,43.72,131.16
38,14,64,2,43.75,87.5
39,14,48,4,49.98,199.92
40,15,33,1,106.16,106.16
41,16,72,4,32.82,131.28
42,16,32,3,21.71,65.13
43,17,58,1,56.96,56.96
44,17,14,5,76.6,383.0
45,17,21,3,67.91,203.73
46,18,109,3,20.57,61.71
47,18,71,4,17.8,71.2
48,18,37,3,9.71,29.130000000000003
49,19,5,4,92.97,371.88
50,19,94,4,26.82,107.28
51,19,40,2,18.96,37.92
52,20,55,4,36.0,144.0
53,20,75,4,34.45,137.8
54,20,9,1,33.88,33.88
55,20,75,4,36.02,144.08
56,21,120,2,28.63,57.26
57,22,22,1,59.05,59.05
58,22,113,4,31.61,126.44
59,22,41,4,52.61,210.44
60,22,1,3,16.52,49.56
61,23,55,4,33.68,134.72
62,24,25,3,68.56,205.68
63,24,50,3,43.64,130.92000000000002
64,25,21,2,65.38,130.76
65,25,83,4,38.44,153.76
66,26,44,3,17.87,53.61
67,26,89,1,18.62,18.62
68,26,26,2,19.65,39.3
69,26,5,2,90.83,181.66
70,27,40,4,20.15,80.6
71,27,90,5,17.88,89.39999999999999
72,28,118,1,21.73,21.73
73,28,106,1,52.53,52.53
74,28,1,3,17.15,51.449999999999996
