order_id,customer_id,order_ts,status,order_date,order_month,item_count,total_quantity,gross_revenue,total_cost,gross_margin,net_revenue,net_margin,cost_pct
1,1996,2024-01-02 15:50:30,completed,2024-01-02,2024-01,1,4,234.44,143.0,91.44,234.44,91.44,0.61
2,415,2024-01-09 04:32:18,completed,2024-01-09,2024-01,3,12,432.71,238.33999999999997,194.37,432.71,194.37,0.5508
3,1529,2024-01-09 22:52:12,cancelled,2024-01-09,2024-01,3,13,264.21,148.88,115.33,264.21,115.33,0.5635
4,410,2024-01-10 19:17:40,completed,2024-01-10,2024-01,4,13,528.67,299.02,229.64999999999998,528.67,229.64999999999998,0.5656
5,1366,2024-01-15 22:35:36,completed,2024-01-15,2024-01,1,3,178.32,118.10999999999999,60.21000000000001,178.32,60.21000000000001,0.6623
6,562,2024-01-16 03:50:54,completed,2024-01-16,2024-01,2,8,244.24,155.89000000000001,88.35,244.24,88.35,0.6383
7,773,2024-01-16 12:10:07,completed,2024-01-16,2024-01,1,3,201.48,94.05000000000001,107.42999999999998,201.48,107.42999999999998,0.4668
8,170,2024-01-17 07:35:49,completed,2024-01-17,2024-01,4,9,421.55999999999995,244.41000000000003,177.14999999999998,421.55999999999995,177.14999999999998,0.5798
9,801,2024-01-17 10:12:42,completed,2024-01-17,2024-01,4,17,451.86,242.20999999999998,209.65,451.86,209.65,0.536
10,1463,2024-01-19 07:22:33,completed,2024-01-19,2024-01,1,3,227.49,131.82,95.67000000000002,227.49,95.67000000000002,0.5795
11,410,2024-01-19 17:35:28,completed,2024-01-19,2024-01,4,13,550.61,237.01999999999998,313.59000000000003,550.61,313.59000000000003,0.4305
12,1493,2024-01-19 23:04:21,completed,2024-01-19,2024-01,4,12,279.31,143.23,136.07999999999998,279.31,136.07999999999998,0.5128
13,1286,2024-01-20 19:43:41,completed,2024-01-20,2024-01,3,5,223.01,104.4,118.60999999999999,223.01,118.60999999999999,0.4681
14,397,2024-01-20 21:38:10,completed,2024-01-20,2024-01,4,12,633.2,322.18,311.02,633.2,311.02,0.5088
15,303,2024-01-21 07:20:17,completed,2024-01-21,2024-01,1,1,106.16,47.26,58.9,106.16,58.9,0.4452
16,540,2024-01-21 13:15:24,completed,2024-01-21,2024-01,2,7,196.41,114.59,81.82,196.41,81.82,0.5834
17,454,2024-01-21 17:38:06,completed,2024-01-21,2024-01,3,9,643.6899999999999,300.25,343.44,643.6899999999999,343.44,0.4665
18,1488,2024-01-22 15:58:58,completed,2024-01-22,2024-01,3,10,162.04000000000002,69.42999999999999,92.61000000000001,162.04000000000002,92.61000000000001,0.4285
19,1913,2024-01-22 21:20:28,completed,2024-01-22,2024-01,3,10,517.08,318.86,198.22,517.08,198.22,0.6167
20,1744,2024-01-23 02:47:05,completed,2024-01-23,2024-01,4,13,459.76,220.39,239.37000000000003,459.76,239.37000000000003,0.4794
21,1286,2024-01-23 16:25:32,completed,2024-01-23,2024-01,1,2,57.26,32.5,24.759999999999998,57.26,24.759999999999998,0.5676
22,1983,2024-01-24 12:45:03,completed,2024-01-24,2024-01,4,12,445.49,217.84,227.65,445.49,227.65,0.489
23,1624,2024-01-24 21:35:40,completed,2024-01-24,2024-01,1,4,134.72,69.0,65.72,134.72,65.72,0.5122
24,1180,2024-01-25 00:12:22,completed,2024-01-25,2024-01,2,6,336.6,129.69,206.91000000000003,336.6,206.91000000000003,0.3853
25,1270,2024-01-25 10:21:02,completed,2024-01-25,2024-01,2,6,284.52,137.7,146.82,284.52,146.82,0.484
26,397,2024-01-25 15:22:57,completed,2024-01-25,2024-01,4,8,293.19,174.3,118.88999999999999,293.19,118.88999999999999,0.5945
27,1488,2024-01-26 06:59:07,completed,2024-01-26,2024-01,2,9,170.0,78.47999999999999,91.51999999999998,170.0,91.51999999999998,0.4616
28,787,2024-01-27 16:10:42,completed,2024-01-27,2024-01,4,10,476.40999999999997,233.29000000000002,243.11999999999998,476.40999999999997,243.11999999999998,0.4897
29,1944,2024-01-28 12:35:51,completed,2024-01-28,2024-01,1,2,99.24,45.82,53.419999999999995,99.24,53.419999999999995,0.4617
30,303,2024-01-28 13:41:24,completed,2024-01-28,2024-01,4,11,229.74,112.53,117.21,229.74,117.21,0.4898
31,1834,2024-01-29 03:48:08,refunded,2024-01-29,2024-01,1,1,36.57,20.6,15.969999999999999,36.57,15.969999999999999,0.5633
32,1979,2024-01-29 17:11:22,cancelled,2024-01-29,2024-01,3,7,457.29,191.02999999999997,266.26,457.29,266.26,0.4177
33,1237,2024-01-31 02:35:46,completed,2024-01-31,2024-01,2,5,79.19999999999999,36.52,42.67999999999999,79.19999999999999,42.67999999999999,0.4611
34,1136,2024-01-31 11:03:45,completed,2024-01-31,2024-01,1,2,43.2,15.62,27.580000000000005,43.2,27.580000000000005,0.3616
35,1913,2024-02-01 10:57:57,completed,2024-02-01,2024-02,3,11,564.6300000000001,239.43,325.20000000000005,564.6300000000001,325.20000000000005,0.424
36,1446,2024-02-01 16:16:04,completed,2024-02-01,2024-02,4,18,546.51,240.09,306.41999999999996,546.51,306.41999999999996,0.4393
37,787,2024-02-02 00:03:27,completed,2024-02-02,2024-02,3,12,626.04,413.68,212.35999999999996,626.04,212.35999999999996,0.6608
38,518,2024-02-02 02:08:43,cancelled,2024-02-02,2024-02,3,8,453.90999999999997,231.39999999999998,222.51,453.90999999999997,222.51,0.5098
39,56,2024-02-02 02:54:37,completed,2024-02-02,2024-02,4,10,550.9599999999999,309.22,241.73999999999995,550.9599999999999,241.73999999999995,0.5612
40,1913,2024-02-02 16:36:29,completed,2024-02-02,2024-02,2,9,140.1,89.72999999999999,50.370000000000005,140.1,50.370000000000005,0.6405
41,1294,2024-02-03 00:42:44,completed,2024-02-03,2024-02,1,5,69.3,28.4,40.9,69.3,40.9,0.4098
42,1744,2024-02-03 03:43:15,completed,2024-02-03,2024-02,3,7,302.61,135.68,166.93,302.61,166.93,0.4484
43,1,2024-02-03 09:29:32,completed,2024-02-03,2024-02,4,10,447.79,274.98,172.81000000000003,447.79,172.81000000000003,0.6141
44,1532,2024-02-04 02:04:32,completed,2024-02-04,2024-02,1,3,182.39999999999998,104.13,78.26999999999998,182.39999999999998,78.26999999999998,0.5709
45,844,2024-02-04 03:04:32,refunded,2024-02-04,2024-02,2,6,286.69,121.87,164.82,286.69,164.82,0.4251
46,1911,2024-02-04 05:26:56,completed,2024-02-04,2024-02,2,6,185.33,98.77,86.56000000000002,185.33,86.56000000000002,0.5329
47,542,2024-02-04 13:43:29,completed,2024-02-04,2024-02,4,13,545.01,242.66,302.35,545.01,302.35,0.4452
48,45,2024-02-05 00:12:26,completed,2024-02-05,2024-02,4,14,570.58,263.53,307.05000000000007,570.58,307.05000000000007,0.4619
49,1167,2024-02-05 06:34:14,refunded,2024-02-05,2024-02,3,7,426.65,245.4,181.25000000000003,426.65,181.25000000000003,0.5752
50,127,2024-02-05 18:22:56,cancelled,2024-02-05,2024-02,2,4,82.37,36.49,45.879999999999995,82.37,45.879999999999995,0.443
51,773,2024-02-05 22:14:00,completed,2024-02-05,2024-02,3,9,279.88,158.34,121.53999999999999,279.88,121.53999999999999,0.5657
52,870,2024-02-05 23:08:37,completed,2024-02-05,2024-02,2,4,206.96,134.67,72.29000000000002,206.96,72.29000000000002,0.6507
53,1021,2024-02-06 09:34:22,cancelled,2024-02-06,2024-02,3,8,212.36,93.56,118.8,212.36,118.8,0.4406
54,1633,2024-02-06 15:06:44,completed,2024-02-06,2024-02,4,14,906.14,419.91999999999996,486.22,906.14,486.22,0.4634
55,619,2024-02-06 20:47:38,refunded,2024-02-06,2024-02,3,7,378.52,179.16000000000003,199.35999999999999,378.52,199.35999999999999,0.4733
56,387,2024-02-06 22:23:32,completed,2024-02-06,2024-02,4,12,427.9,236.74,191.15999999999997,427.9,191.15999999999997,0.5533
57,1783,2024-02-07 02:46:54,completed,2024-02-07,2024-02,3,8,513.4,200.93,312.46999999999997,513.4,312.46999999999997,0.3914
