product_id,product_name,category,unit_price,unit_cost,margin_pct,total_units_sold,total_revenue,order_count,avg_selling_price,product_margin_total
1,SKU-0001,Electronics,18.17,10.71,0.4106,824,14235.16,257,17.252007722007722,6147.04
2,SKU-0002,Outdoors,45.74,28.32,0.3808,614,26702.91,217,43.495069124423964,10695.88
3,SKU-0003,Apparel,32.21,12.99,0.5967,787,24105.31,262,30.631106870229008,15126.14
4,SKU-0004,Outdoors,30.73,15.56,0.4937,679,19806.66,235,29.158340425531915,10300.43
5,SKU-0005,Apparel,94.96,59.95,0.3687,835,75488.59,275,90.33758122743681,29233.35
6,SKU-0006,Home,76.75,43.94,0.4275,794,57801.18,267,72.79557620817843,26051.14
7,SKU-0007,Beauty,13.89,5.68,0.5911,719,9466.05,248,13.176892430278885,5902.99
8,SKU-0008,Apparel,21.99,9.33,0.5757,777,16196.14,251,20.81858823529412,9836.82
9,SKU-0009,Electronics,36.43,14.11,0.6127,714,24697.670000000002,240,34.59438016528926,15936.48
10,SKU-0010,Toys,79.89,37.5,0.5306,769,58484.94,252,76.1078125,32597.91
11,SKU-0011,Outdoors,28.79,15.06,0.4769,679,18586.39,221,27.387822222222223,9322.67
12,SKU-0012,Apparel,40.37,21.07,0.4781,746,28635.63,232,38.372060085836914,14397.8
13,SKU-0013,Beauty,43.3,25.62,0.4083,678,27898.38,238,41.16732217573222,11987.04
14,SKU-0014,Beauty,79.28,36.05,0.5453,709,53481.55,232,75.42252136752137,30650.07
15,SKU-0015,Apparel,20.06,9.52,0.5254,719,13671.05,235,19.031361702127658,7578.26
16,SKU-0016,Beauty,36.32,21.92,0.3965,767,26439.98,262,34.50216730038023,11044.8
17,SKU-0017,Beauty,52.47,20.16,0.6158,808,40339.65,261,49.926882129277566,26106.48
18,SKU-0018,Outdoors,18.31,9.88,0.4604,726,12626.39,226,17.38691304347826,6120.18
19,SKU-0019,Home,41.18,26.15,0.365,755,29493.87,238,39.09045454545454,11347.65
20,SKU-0020,Home,37.35,20.6,0.4485,777,27540.51,258,35.45546511627907,13014.75
21,SKU-0021,Outdoors,68.65,26.71,0.6109,768,49961.3,259,65.08425287356323,32209.92
